paper_name,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,delta_simplerenv_widowx_bridge_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
3D-Mix for VLA: A Plug-and-Play Module for Integrating VGGT-based 3D Information into Vision-Language-Action Models,68.23,64.58,0.03650000000000009,0.6458333333333334,0.03125,0.13541666666666666,possibly_significant
AC^2-VLA: Action-Context-Aware Adaptive Computation in Vision-Language-Action Models for Efficient Robotic Manipulation,54.5,51.3,0.03200000000000003,0.5104166666666666,0.03125,0.15625,possibly_significant
ActionCodec: What Makes for Good Action Tokenizers,65.2,67.9,-0.027000000000000024,0.6770833333333334,0.03125,0.125,negative
AnchorVLA4D: an Anchor-Based Spatial-Temporal Vision-Language-Action Model for Robotic Manipulation,64.6,71.9,-0.07300000000000018,0.71875,0.03125,0.11458333333333333,negative
AR-VLA: True Autoregressive Action Expert for Vision-Language-Action Models,61.5,52.1,0.09399999999999997,0.5208333333333334,0.03125,0.15625,possibly_significant
Beyond Dense Futures: World Models as Structured Planners for Robotic Manipulation,75.0,69.8,0.052000000000000046,0.6979166666666666,0.03125,0.125,possibly_significant
Chain of World: World Model Thinking in Latent Motion,76.0,74.0,0.020000000000000018,0.7395833333333334,0.03125,0.11458333333333333,not_significant
ConLA: Contrastive Latent Action Learning from Human Videos for Robotic Manipulation,64.6,63.5,0.010999999999999899,0.6354166666666666,0.03125,0.13541666666666666,not_significant
CORAL: Scalable Multi-Task Robot Learning via LoRA Experts,97.9,95.8,0.02100000000000013,0.9583333333333334,0.03125,0.041666666666666664,not_significant
DAM-VLA: A Dynamic Action Model-Based Vision-Language-Action Framework for Robot Manipulation,71.0,57.0,0.14,0.5729166666666666,0.03125,0.14583333333333334,possibly_significant
DTP: A Simple yet Effective Distracting Token Pruning Framework for Vision-Language Action Models,74.0,68.7,0.052999999999999936,0.6875,0.03125,0.125,possibly_significant
EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,56.3,60.4,-0.041000000000000036,0.6041666666666666,0.03125,0.14583333333333334,negative
